Artist,Playcount,Listeners,URL,Date
Tame Impala,432388650,4478264,https://www.last.fm/music/Tame+Impala,2026-06-07
Lady Gaga,1048596521,7787139,https://www.last.fm/music/Lady+Gaga,2026-06-07
Olivia Rodrigo,587943763,3181490,https://www.last.fm/music/Olivia+Rodrigo,2026-06-07
"Tyler, The Creator",1067860988,4382765,"https://www.last.fm/music/Tyler,+The+Creator",2026-06-07
Charli xcx,737712684,3826317,https://www.last.fm/music/Charli+xcx,2026-06-07
Sabrina Carpenter,686868843,3303915,https://www.last.fm/music/Sabrina+Carpenter,2026-06-07
Justin Bieber,348362498,4916171,https://www.last.fm/music/Justin+Bieber,2026-06-07
Lana Del Rey,1602633485,5315686,https://www.last.fm/music/Lana+Del+Rey,2026-06-07
Katy Perry,448599429,7239088,https://www.last.fm/music/Katy+Perry,2026-06-07
Arctic Monkeys,946614634,7164499,https://www.last.fm/music/Arctic+Monkeys,2026-06-07
Paramore,595977398,5707034,https://www.last.fm/music/Paramore,2026-06-07
Frank Ocean,789342767,4313247,https://www.last.fm/music/Frank+Ocean,2026-06-07
Billie Eilish,851310773,4284559,https://www.last.fm/music/Billie+Eilish,2026-06-07
Bruno Mars,312392111,5317352,https://www.last.fm/music/Bruno+Mars,2026-06-07
Doja Cat,478119331,3687757,https://www.last.fm/music/Doja+Cat,2026-06-07
Malcolm Todd,112358046,1469547,https://www.last.fm/music/Malcolm+Todd,2026-06-07
Fleetwood Mac,306697920,4946869,https://www.last.fm/music/Fleetwood+Mac,2026-06-07
Harry Styles,456175843,3378519,https://www.last.fm/music/Harry+Styles,2026-06-07
Gorillaz,526776214,6919554,https://www.last.fm/music/Gorillaz,2026-06-07
A$AP Rocky,380119117,3504154,https://www.last.fm/music/A$AP+Rocky,2026-06-07
The Smiths,548271209,5132175,https://www.last.fm/music/The+Smiths,2026-06-07
Linkin Park,757882012,6995161,https://www.last.fm/music/Linkin+Park,2026-06-07
Childish Gambino,334624239,3874631,https://www.last.fm/music/Childish+Gambino,2026-06-07
SZA,596350608,3544187,https://www.last.fm/music/SZA,2026-06-07
Travis Scott,693102807,3378895,https://www.last.fm/music/Travis+Scott,2026-06-07
Don Toliver,289404668,2595599,https://www.last.fm/music/Don+Toliver,2026-06-07
Deftones,589610078,4289230,https://www.last.fm/music/Deftones,2026-06-07
The Neighbourhood,411978317,4025788,https://www.last.fm/music/The+Neighbourhood,2026-06-07
Coldplay,786850143,9169908,https://www.last.fm/music/Coldplay,2026-06-07
Bad Bunny,419628579,2634813,https://www.last.fm/music/Bad+Bunny,2026-06-07
Chappell Roan,343412242,2609314,https://www.last.fm/music/Chappell+Roan,2026-06-07
Clairo,360254704,2973193,https://www.last.fm/music/Clairo,2026-06-07
Mac Miller,442219531,3593110,https://www.last.fm/music/Mac+Miller,2026-06-07
Beyoncé,708954227,6439620,https://www.last.fm/music/Beyonc%C3%A9,2026-06-07
The Marías,251448263,2557599,https://www.last.fm/music/The+Mar%C3%ADas,2026-06-07
Future,471188177,3266521,https://www.last.fm/music/Future,2026-06-07
Mitski,678209417,3318776,https://www.last.fm/music/Mitski,2026-06-07
TV Girl,303099972,2909780,https://www.last.fm/music/TV+Girl,2026-06-07
Dominic Fike,160512610,2649384,https://www.last.fm/music/Dominic+Fike,2026-06-07
Playboi Carti,798004081,2515434,https://www.last.fm/music/Playboi+Carti,2026-06-07
Ariana Grande,1146671017,4551245,https://www.last.fm/music/Ariana+Grande,2026-06-09
Michael Jackson,391464784,7027582,https://www.last.fm/music/Michael+Jackson,2026-06-09
Drake,1221328460,6800038,https://www.last.fm/music/Drake,2026-06-09
The Weeknd,1143584238,5383380,https://www.last.fm/music/The+Weeknd,2026-06-09
Taylor Swift,3724964422,5998889,https://www.last.fm/music/Taylor+Swift,2026-06-09
Kanye West,1568558895,8010521,https://www.last.fm/music/Kanye+West,2026-06-09
Rihanna,613722701,8370156,https://www.last.fm/music/Rihanna,2026-06-09
PinkPantheress,347812005,3162721,https://www.last.fm/music/PinkPantheress,2026-06-09
Radiohead,1394595065,8305833,https://www.last.fm/music/Radiohead,2026-06-09
Kendrick Lamar,1046488742,5154781,https://www.last.fm/music/Kendrick+Lamar,2026-06-09
Tame Impala,432911163,4482536,https://www.last.fm/music/Tame+Impala,2026-06-09
Lady Gaga,1049222372,7790546,https://www.last.fm/music/Lady+Gaga,2026-06-09
Olivia Rodrigo,588988994,3185100,https://www.last.fm/music/Olivia+Rodrigo,2026-06-09
"Tyler, The Creator",1068527964,4385279,"https://www.last.fm/music/Tyler,+The+Creator",2026-06-09
Charli xcx,738395372,3828494,https://www.last.fm/music/Charli+xcx,2026-06-09
Sabrina Carpenter,687761566,3306427,https://www.last.fm/music/Sabrina+Carpenter,2026-06-09
Justin Bieber,348897050,4920034,https://www.last.fm/music/Justin+Bieber,2026-06-09
Lana Del Rey,1603558366,5318574,https://www.last.fm/music/Lana+Del+Rey,2026-06-09
Arctic Monkeys,947127236,7167552,https://www.last.fm/music/Arctic+Monkeys,2026-06-09
Paramore,596452689,5710212,https://www.last.fm/music/Paramore,2026-06-09
Frank Ocean,789929555,4315631,https://www.last.fm/music/Frank+Ocean,2026-06-09
Katy Perry,449003902,7243315,https://www.last.fm/music/Katy+Perry,2026-06-09
Billie Eilish,851932031,4287251,https://www.last.fm/music/Billie+Eilish,2026-06-09
Bruno Mars,312794936,5320615,https://www.last.fm/music/Bruno+Mars,2026-06-09
Malcolm Todd,114286830,1480206,https://www.last.fm/music/Malcolm+Todd,2026-06-09
Fleetwood Mac,307024110,4949869,https://www.last.fm/music/Fleetwood+Mac,2026-06-09
Doja Cat,478528325,3690295,https://www.last.fm/music/Doja+Cat,2026-06-09
Harry Styles,456704696,3381696,https://www.last.fm/music/Harry+Styles,2026-06-09
Gorillaz,527143944,6922501,https://www.last.fm/music/Gorillaz,2026-06-09
A$AP Rocky,380542058,3506416,https://www.last.fm/music/A$AP+Rocky,2026-06-09
